,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross
0,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
1,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
2,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
3,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
4,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
5,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
6,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
7,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
8,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
9,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
10,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
11,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
12,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
13,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
14,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
15,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
16,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
17,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
18,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
19,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
20,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
21,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
22,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
23,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
24,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
25,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
26,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
27,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
28,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
29,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
30,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
31,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
32,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
33,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
34,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
35,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
36,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
37,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
38,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
39,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
40,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
41,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
42,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
43,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
44,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
45,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
46,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
47,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
48,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
49,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
50,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
51,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
52,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
53,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
54,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
55,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
56,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
57,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
58,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
59,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
60,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
61,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
62,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
63,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
64,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
65,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
66,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
67,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
68,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
69,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
70,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
71,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
